"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数,E_mn,A_I,A_D,O_I,O_D,到达时刻,出发时刻,conn_gap_min,transfer_time_max,transfer_time_min
NV6155,NV656,I,I,PK285,PK304,26,0.0,1,0,1,0,2018-01-20 13:20:00,2018-01-20 16:10:00,170.0,53.0,40.0
NV6171,NV656,I,I,PK295,PK304,10,0.0,1,0,1,0,2018-01-20 14:25:00,2018-01-20 16:10:00,105.0,53.0,40.0
NV6709,NV656,D,I,PK297,PK304,9,0.0,0,1,1,0,2018-01-20 14:30:00,2018-01-20 16:10:00,100.0,73.0,55.0
NV6735,NV656,D,I,PK286,PK304,6,0.0,0,1,1,0,2018-01-20 13:25:00,2018-01-20 16:10:00,165.0,73.0,55.0
NV6153,NV656,I,I,PK292,PK304,5,0.0,1,0,1,0,2018-01-20 14:00:00,2018-01-20 16:10:00,130.0,53.0,40.0
NV6719,NV656,D,I,PK288,PK304,1,0.0,0,1,1,0,2018-01-20 13:40:00,2018-01-20 16:10:00,150.0,73.0,55.0
NV674,NV656,D,I,PK280,PK304,1,0.0,0,1,1,0,2018-01-20 12:55:00,2018-01-20 16:10:00,195.0,73.0,55.0
NV6155,NV629,I,D,PK285,PK311,6,0.0,1,0,0,1,2018-01-20 13:20:00,2018-01-20 16:50:00,210.0,81.0,55.0
NV383,NV629,I,D,PK290,PK311,1,0.0,1,0,0,1,2018-01-20 13:50:00,2018-01-20 16:50:00,180.0,81.0,55.0
NV6171,NV629,I,D,PK295,PK311,1,0.0,1,0,0,1,2018-01-20 14:25:00,2018-01-20 16:50:00,145.0,81.0,55.0
NV6153,NV629,I,D,PK292,PK311,4,0.0,1,0,0,1,2018-01-20 14:00:00,2018-01-20 16:50:00,170.0,81.0,55.0
NV873,NV629,I,D,PK296,PK311,3,0.0,1,0,0,1,2018-01-20 14:25:00,2018-01-20 16:50:00,145.0,81.0,55.0
NV6155,NV6742,I,D,PK285,PK295,4,0.0,1,0,0,1,2018-01-20 13:20:00,2018-01-20 16:15:00,175.0,81.0,55.0
NV383,NV6742,I,D,PK290,PK295,12,0.0,1,0,0,1,2018-01-20 13:50:00,2018-01-20 16:15:00,145.0,81.0,55.0
NV3703,NV6742,I,D,PK278,PK295,11,0.0,1,0,0,1,2018-01-20 12:25:00,2018-01-20 16:15:00,230.0,81.0,55.0
NV6709,NV6742,D,D,PK297,PK295,2,0.0,0,1,0,1,2018-01-20 14:30:00,2018-01-20 16:15:00,105.0,53.0,35.0
NV6153,NV6742,I,D,PK292,PK295,2,0.0,1,0,0,1,2018-01-20 14:00:00,2018-01-20 16:15:00,135.0,81.0,55.0
NV6749,NV6742,D,D,PK276,PK295,1,0.0,0,1,0,1,2018-01-20 12:20:00,2018-01-20 16:15:00,235.0,53.0,35.0
NV6155,NV6574,I,D,PK285,PK293,1,0.0,1,0,0,1,2018-01-20 13:20:00,2018-01-20 15:20:00,120.0,81.0,55.0
NV841,NV6574,I,D,PK274,PK293,2,0.0,1,0,0,1,2018-01-20 11:25:00,2018-01-20 15:20:00,235.0,81.0,55.0
NV383,NV6574,I,D,PK290,PK293,5,0.0,1,0,0,1,2018-01-20 13:50:00,2018-01-20 15:20:00,90.0,81.0,55.0
NV687,NV6574,I,D,PK261,PK293,4,0.0,1,0,0,1,2018-01-20 10:20:00,2018-01-20 15:20:00,300.0,81.0,55.0
NV6155,NV6318,I,D,PK285,PK294,1,0.0,1,0,0,1,2018-01-20 13:20:00,2018-01-20 15:25:00,125.0,81.0,55.0
NV6735,NV6318,D,D,PK286,PK294,2,0.0,0,1,0,1,2018-01-20 13:25:00,2018-01-20 15:25:00,120.0,53.0,35.0
NV6155,NV3273,I,D,PK285,PK297,1,0.0,1,0,0,1,2018-01-20 13:20:00,2018-01-20 17:20:00,240.0,81.0,55.0
NV6171,NV3273,I,D,PK295,PK297,7,0.0,1,0,0,1,2018-01-20 14:25:00,2018-01-20 17:20:00,175.0,81.0,55.0
NV6153,NV3273,I,D,PK292,PK297,2,0.0,1,0,0,1,2018-01-20 14:00:00,2018-01-20 17:20:00,200.0,81.0,55.0
NV629,NV3273,I,D,PK311,PK297,2,0.0,1,0,0,1,2018-01-20 15:15:00,2018-01-20 17:20:00,125.0,81.0,55.0
NV871,NV3263,I,D,PK455,PK170,1,0.0,1,0,0,1,2018-01-20 05:20:00,2018-01-20 08:05:00,165.0,81.0,55.0
NV655,NV3263,I,D,PK457,PK170,1,0.0,1,0,0,1,2018-01-20 05:40:00,2018-01-20 08:05:00,145.0,81.0,55.0
NV309,NV3263,I,D,PK454,PK170,4,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 08:05:00,170.0,81.0,55.0
NV689,NV3263,I,D,PK464,PK170,1,0.0,1,0,0,1,2018-01-20 06:25:00,2018-01-20 08:05:00,100.0,81.0,55.0
NV891,NV3263,I,D,PK458,PK170,1,0.0,1,0,0,1,2018-01-20 05:45:00,2018-01-20 08:05:00,140.0,81.0,55.0
NV851,NV3263,I,D,PK461,PK170,2,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 08:05:00,130.0,81.0,55.0
NV347,NV3263,I,D,PK456,PK170,2,0.0,1,0,0,1,2018-01-20 05:35:00,2018-01-20 08:05:00,150.0,81.0,55.0
NV6241,NV880,D,I,PK168,PK106,24,0.0,0,1,1,0,2018-01-19 21:40:00,2018-01-20 00:55:00,195.0,73.0,55.0
NV6699,NV880,D,I,PK165,PK106,3,0.0,0,1,1,0,2018-01-19 21:20:00,2018-01-20 00:55:00,215.0,73.0,55.0
NV6642,NV880,D,I,PK160,PK106,5,0.0,0,1,1,0,2018-01-19 21:05:00,2018-01-20 00:55:00,230.0,73.0,55.0
NV3553,NV880,D,I,PK176,PK106,1,0.0,0,1,1,0,2018-01-19 22:05:00,2018-01-20 00:55:00,170.0,73.0,55.0
NV6633,NV880,D,I,PK157,PK106,4,0.0,0,1,1,0,2018-01-19 21:00:00,2018-01-20 00:55:00,235.0,73.0,55.0
NV6725,NV880,D,I,PK147,PK106,2,0.0,0,1,1,0,2018-01-19 20:15:00,2018-01-20 00:55:00,280.0,73.0,55.0
NV6551,NV880,D,I,PK146,PK106,3,0.0,0,1,1,0,2018-01-19 20:15:00,2018-01-20 00:55:00,280.0,73.0,55.0
NV6737,NV880,D,I,PK169,PK106,1,0.0,0,1,1,0,2018-01-19 21:45:00,2018-01-20 00:55:00,190.0,73.0,55.0
NV6405,NV880,D,I,PK174,PK106,3,0.0,0,1,1,0,2018-01-19 22:00:00,2018-01-20 00:55:00,175.0,73.0,55.0
NV6578,NV880,D,I,PK152,PK106,1,0.0,0,1,1,0,2018-01-19 20:30:00,2018-01-20 00:55:00,265.0,73.0,55.0
NV6241,NV320,D,I,PK168,PK131,3,0.0,0,1,1,0,2018-01-19 21:40:00,2018-01-20 00:10:00,150.0,73.0,55.0
NV673,NV320,I,I,PK131,PK131,7,1.0,1,0,1,0,2018-01-19 19:30:00,2018-01-20 00:10:00,280.0,53.0,40.0
NV6117,NV320,I,I,PK151,PK131,2,0.0,1,0,1,0,2018-01-19 20:30:00,2018-01-20 00:10:00,220.0,53.0,40.0
NV6699,NV320,D,I,PK165,PK131,1,0.0,0,1,1,0,2018-01-19 21:20:00,2018-01-20 00:10:00,170.0,73.0,55.0
NV6642,NV320,D,I,PK160,PK131,2,0.0,0,1,1,0,2018-01-19 21:05:00,2018-01-20 00:10:00,185.0,73.0,55.0
NV6633,NV320,D,I,PK157,PK131,2,0.0,0,1,1,0,2018-01-19 21:00:00,2018-01-20 00:10:00,190.0,73.0,55.0
NV827,NV320,I,I,PK140,PK131,3,0.0,1,0,1,0,2018-01-19 20:00:00,2018-01-20 00:10:00,250.0,53.0,40.0
NV6405,NV320,D,I,PK174,PK131,1,0.0,0,1,1,0,2018-01-19 22:00:00,2018-01-20 00:10:00,130.0,73.0,55.0
NV3622,NV320,D,I,PK134,PK131,1,0.0,0,1,1,0,2018-01-19 19:40:00,2018-01-20 00:10:00,270.0,73.0,55.0
NV3270,NV320,D,I,PK170,PK131,2,0.0,0,1,1,0,2018-01-19 21:50:00,2018-01-20 00:10:00,140.0,73.0,55.0
NV6241,NV840,D,I,PK168,PK104,3,0.0,0,1,1,0,2018-01-19 21:40:00,2018-01-20 00:20:00,160.0,73.0,55.0
NV6117,NV840,I,I,PK151,PK104,6,0.0,1,0,1,0,2018-01-19 20:30:00,2018-01-20 00:20:00,230.0,53.0,40.0
NV6699,NV840,D,I,PK165,PK104,1,0.0,0,1,1,0,2018-01-19 21:20:00,2018-01-20 00:20:00,180.0,73.0,55.0
NV6643,NV840,D,I,PK161,PK104,5,0.0,0,1,1,0,2018-01-19 21:10:00,2018-01-20 00:20:00,190.0,73.0,55.0
NV6642,NV840,D,I,PK160,PK104,1,0.0,0,1,1,0,2018-01-19 21:05:00,2018-01-20 00:20:00,195.0,73.0,55.0
NV3553,NV840,D,I,PK176,PK104,5,0.0,0,1,1,0,2018-01-19 22:05:00,2018-01-20 00:20:00,135.0,73.0,55.0
NV651,NV840,I,I,PK159,PK104,2,0.0,1,0,1,0,2018-01-19 21:05:00,2018-01-20 00:20:00,195.0,53.0,40.0
NV6551,NV840,D,I,PK146,PK104,1,0.0,0,1,1,0,2018-01-19 20:15:00,2018-01-20 00:20:00,245.0,73.0,55.0
NV6405,NV840,D,I,PK174,PK104,2,0.0,0,1,1,0,2018-01-19 22:00:00,2018-01-20 00:20:00,140.0,73.0,55.0
NV633,NV840,I,I,PK133,PK104,2,0.0,1,0,1,0,2018-01-19 19:35:00,2018-01-20 00:20:00,285.0,53.0,40.0
NV621,NV840,I,I,PK144,PK104,1,0.0,1,0,1,0,2018-01-19 20:10:00,2018-01-20 00:20:00,250.0,53.0,40.0
NV6375,NV840,D,I,PK155,PK104,1,0.0,0,1,1,0,2018-01-19 20:45:00,2018-01-20 00:20:00,215.0,73.0,55.0
NV6241,NV608,D,I,PK168,PK108,1,0.0,0,1,1,0,2018-01-19 21:40:00,2018-01-20 00:20:00,160.0,73.0,55.0
NV673,NV608,I,I,PK131,PK108,1,0.0,1,0,1,0,2018-01-19 19:30:00,2018-01-20 00:20:00,290.0,53.0,40.0
NV6117,NV608,I,I,PK151,PK108,2,0.0,1,0,1,0,2018-01-19 20:30:00,2018-01-20 00:20:00,230.0,53.0,40.0
NV6699,NV608,D,I,PK165,PK108,6,0.0,0,1,1,0,2018-01-19 21:20:00,2018-01-20 00:20:00,180.0,73.0,55.0
NV6772,NV608,D,I,PK153,PK108,2,0.0,0,1,1,0,2018-01-19 20:30:00,2018-01-20 00:20:00,230.0,73.0,55.0
NV6725,NV608,D,I,PK147,PK108,2,0.0,0,1,1,0,2018-01-19 20:15:00,2018-01-20 00:20:00,245.0,73.0,55.0
NV6737,NV608,D,I,PK169,PK108,2,0.0,0,1,1,0,2018-01-19 21:45:00,2018-01-20 00:20:00,155.0,73.0,55.0
NV3622,NV608,D,I,PK134,PK108,3,0.0,0,1,1,0,2018-01-19 19:40:00,2018-01-20 00:20:00,280.0,73.0,55.0
NV3270,NV608,D,I,PK170,PK108,1,0.0,0,1,1,0,2018-01-19 21:50:00,2018-01-20 00:20:00,150.0,73.0,55.0
NV3278,NV608,D,I,PK150,PK108,2,0.0,0,1,1,0,2018-01-19 20:25:00,2018-01-20 00:20:00,235.0,73.0,55.0
NV633,NV608,I,I,PK133,PK108,1,0.0,1,0,1,0,2018-01-19 19:35:00,2018-01-20 00:20:00,285.0,53.0,40.0
NV317,NV608,I,I,PK149,PK108,2,0.0,1,0,1,0,2018-01-19 20:25:00,2018-01-20 00:20:00,235.0,53.0,40.0
NV679,NV608,I,I,PK167,PK108,2,0.0,1,0,1,0,2018-01-19 21:30:00,2018-01-20 00:20:00,170.0,53.0,40.0
NV849,NV608,I,I,PK135,PK108,1,0.0,1,0,1,0,2018-01-19 19:40:00,2018-01-20 00:20:00,280.0,53.0,40.0
NV0747,NV608,D,I,PK184,PK108,1,0.0,0,1,1,0,2018-01-19 22:45:00,2018-01-20 00:20:00,95.0,73.0,55.0
NV6575,NV830,D,I,PK293,PK275,23,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 18:10:00,240.0,73.0,55.0
NV3260,NV830,D,I,PK326,PK275,2,0.0,0,1,1,0,2018-01-20 16:15:00,2018-01-20 18:10:00,115.0,73.0,55.0
NV3654,NV830,D,I,PK294,PK275,7,0.0,0,1,1,0,2018-01-20 14:20:00,2018-01-20 18:10:00,230.0,73.0,55.0
NV3702,NV830,D,I,PK330,PK275,1,0.0,0,1,1,0,2018-01-20 16:30:00,2018-01-20 18:10:00,100.0,73.0,55.0
NV6685,NV830,D,I,PK300,PK275,2,0.0,0,1,1,0,2018-01-20 14:45:00,2018-01-20 18:10:00,205.0,73.0,55.0
NV6453,NV830,D,I,PK315,PK275,1,0.0,0,1,1,0,2018-01-20 15:25:00,2018-01-20 18:10:00,165.0,73.0,55.0
NV6575,NV382,D,I,PK293,PK313,12,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 16:55:00,165.0,73.0,55.0
NV6711,NV382,D,I,PK301,PK313,1,0.0,0,1,1,0,2018-01-20 14:45:00,2018-01-20 16:55:00,130.0,73.0,55.0
NV6575,NV6162,D,I,PK293,PK324,6,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 17:30:00,200.0,73.0,55.0
NV657,NV6162,I,I,PK316,PK324,4,0.0,1,0,1,0,2018-01-20 15:30:00,2018-01-20 17:30:00,120.0,53.0,40.0
NV6711,NV6162,D,I,PK301,PK324,1,0.0,0,1,1,0,2018-01-20 14:45:00,2018-01-20 17:30:00,165.0,73.0,55.0
NV6575,NV686,D,I,PK293,PK301,2,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 17:10:00,180.0,73.0,55.0
NV382,NV686,D,I,PK313,PK301,1,0.0,0,1,1,0,2018-01-20 15:20:00,2018-01-20 17:10:00,110.0,73.0,55.0
NV3654,NV686,D,I,PK294,PK301,3,0.0,0,1,1,0,2018-01-20 14:20:00,2018-01-20 17:10:00,170.0,73.0,55.0
NV6719,NV686,D,I,PK288,PK301,1,0.0,0,1,1,0,2018-01-20 13:40:00,2018-01-20 17:10:00,210.0,73.0,55.0
NV6453,NV686,D,I,PK315,PK301,3,0.0,0,1,1,0,2018-01-20 15:25:00,2018-01-20 17:10:00,105.0,73.0,55.0
NV3266,NV686,D,I,PK284,PK301,3,0.0,0,1,1,0,2018-01-20 13:15:00,2018-01-20 17:10:00,235.0,73.0,55.0
GN0477,NV686,D,I,PK299,PK301,2,0.0,0,1,1,0,2018-01-20 14:40:00,2018-01-20 17:10:00,150.0,73.0,55.0
GN0423,NV686,D,I,PK310,PK301,2,0.0,0,1,1,0,2018-01-20 15:10:00,2018-01-20 17:10:00,120.0,73.0,55.0
NV6575,NV642,D,I,PK293,PK337,2,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 18:10:00,240.0,73.0,55.0
NV382,NV642,D,I,PK313,PK337,2,0.0,0,1,1,0,2018-01-20 15:20:00,2018-01-20 18:10:00,170.0,73.0,55.0
NV6709,NV642,D,I,PK297,PK337,4,0.0,0,1,1,0,2018-01-20 14:30:00,2018-01-20 18:10:00,220.0,73.0,55.0
NV3260,NV642,D,I,PK326,PK337,1,0.0,0,1,1,0,2018-01-20 16:15:00,2018-01-20 18:10:00,115.0,73.0,55.0
NV3654,NV642,D,I,PK294,PK337,1,0.0,0,1,1,0,2018-01-20 14:20:00,2018-01-20 18:10:00,230.0,73.0,55.0
NV302,NV642,D,I,PK319,PK337,6,0.0,0,1,1,0,2018-01-20 15:45:00,2018-01-20 18:10:00,145.0,73.0,55.0
NV3702,NV642,D,I,PK330,PK337,1,0.0,0,1,1,0,2018-01-20 16:30:00,2018-01-20 18:10:00,100.0,73.0,55.0
NV304,NV642,D,I,PK332,PK337,3,0.0,0,1,1,0,2018-01-20 16:35:00,2018-01-20 18:10:00,95.0,73.0,55.0
NV6715,NV642,D,I,PK325,PK337,2,0.0,0,1,1,0,2018-01-20 16:05:00,2018-01-20 18:10:00,125.0,73.0,55.0
NV6711,NV642,D,I,PK301,PK337,2,0.0,0,1,1,0,2018-01-20 14:45:00,2018-01-20 18:10:00,205.0,73.0,55.0
NV6453,NV642,D,I,PK315,PK337,1,0.0,0,1,1,0,2018-01-20 15:25:00,2018-01-20 18:10:00,165.0,73.0,55.0
NV6575,NV616,D,I,PK293,PK303,2,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 16:15:00,125.0,73.0,55.0
NV383,NV616,I,I,PK290,PK303,1,0.0,1,0,1,0,2018-01-20 13:50:00,2018-01-20 16:15:00,145.0,53.0,40.0
NV6171,NV616,I,I,PK295,PK303,11,0.0,1,0,1,0,2018-01-20 14:25:00,2018-01-20 16:15:00,110.0,53.0,40.0
NV6709,NV616,D,I,PK297,PK303,2,0.0,0,1,1,0,2018-01-20 14:30:00,2018-01-20 16:15:00,105.0,73.0,55.0
NV6735,NV616,D,I,PK286,PK303,5,0.0,0,1,1,0,2018-01-20 13:25:00,2018-01-20 16:15:00,170.0,73.0,55.0
NV6153,NV616,I,I,PK292,PK303,1,0.0,1,0,1,0,2018-01-20 14:00:00,2018-01-20 16:15:00,135.0,53.0,40.0
NV6719,NV616,D,I,PK288,PK303,4,0.0,0,1,1,0,2018-01-20 13:40:00,2018-01-20 16:15:00,155.0,73.0,55.0
NV674,NV616,D,I,PK280,PK303,1,0.0,0,1,1,0,2018-01-20 12:55:00,2018-01-20 16:15:00,200.0,73.0,55.0
NV3287,NV616,D,I,PK282,PK303,2,0.0,0,1,1,0,2018-01-20 13:05:00,2018-01-20 16:15:00,190.0,73.0,55.0
NV6575,NV302,D,I,PK293,PK319,2,0.0,0,1,1,0,2018-01-20 14:10:00,2018-01-20 17:15:00,185.0,73.0,55.0
NV6711,NV302,D,I,PK301,PK319,1,0.0,0,1,1,0,2018-01-20 14:45:00,2018-01-20 17:15:00,150.0,73.0,55.0
NV6117,NV664,I,I,PK393,PK363,22,0.0,1,0,1,0,2018-01-20 20:30:00,2018-01-21 00:05:00,215.0,53.0,40.0
NV849,NV664,I,I,PK377,PK363,6,0.0,1,0,1,0,2018-01-20 19:40:00,2018-01-21 00:05:00,265.0,53.0,40.0
NV673,NV664,I,I,PK373,PK363,9,0.0,1,0,1,0,2018-01-20 19:30:00,2018-01-21 00:05:00,275.0,53.0,40.0
NV6633,NV664,D,I,PK398,PK363,3,0.0,0,1,1,0,2018-01-20 21:00:00,2018-01-21 00:05:00,185.0,73.0,55.0
NV6653,NV664,D,I,PK407,PK363,1,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:05:00,165.0,73.0,55.0
NV6737,NV664,D,I,PK414,PK363,2,0.0,0,1,1,0,2018-01-20 21:45:00,2018-01-21 00:05:00,140.0,73.0,55.0
NV827,NV664,I,I,PK382,PK363,6,0.0,1,0,1,0,2018-01-20 20:00:00,2018-01-21 00:05:00,245.0,53.0,40.0
NV621,NV664,I,I,PK386,PK363,2,0.0,1,0,1,0,2018-01-20 20:10:00,2018-01-21 00:05:00,235.0,53.0,40.0
NV317,NV664,I,I,PK391,PK363,3,0.0,1,0,1,0,2018-01-20 20:25:00,2018-01-21 00:05:00,220.0,53.0,40.0
NV6733,NV664,D,I,PK410,PK363,1,0.0,0,1,1,0,2018-01-20 21:30:00,2018-01-21 00:05:00,155.0,73.0,55.0
GN0629,NV664,D,I,PK406,PK363,3,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:05:00,165.0,73.0,55.0
NV6643,NV664,D,I,PK402,PK363,2,0.0,0,1,1,0,2018-01-20 21:10:00,2018-01-21 00:05:00,175.0,73.0,55.0
GN0641,NV664,D,I,PK367,PK363,2,0.0,0,1,1,0,2018-01-20 19:10:00,2018-01-21 00:05:00,295.0,73.0,55.0
NV679,NV664,I,I,PK411,PK363,1,0.0,1,0,1,0,2018-01-20 21:30:00,2018-01-21 00:05:00,155.0,53.0,40.0
NV6505,NV664,D,I,PK405,PK363,2,0.0,0,1,1,0,2018-01-20 21:15:00,2018-01-21 00:05:00,170.0,73.0,55.0
NV6117,NV6811,I,D,PK393,PK399,6,0.0,1,0,0,1,2018-01-20 20:30:00,2018-01-20 22:20:00,110.0,81.0,55.0
NV673,NV6811,I,D,PK373,PK399,4,0.0,1,0,0,1,2018-01-20 19:30:00,2018-01-20 22:20:00,170.0,81.0,55.0
NV827,NV6811,I,D,PK382,PK399,1,0.0,1,0,0,1,2018-01-20 20:00:00,2018-01-20 22:20:00,140.0,81.0,55.0
NV6489,NV6811,D,D,PK352,PK399,3,0.0,0,1,0,1,2018-01-20 18:20:00,2018-01-20 22:20:00,240.0,53.0,35.0
NV621,NV6811,I,D,PK386,PK399,1,0.0,1,0,0,1,2018-01-20 20:10:00,2018-01-20 22:20:00,130.0,81.0,55.0
NV6527,NV6811,D,D,PK381,PK399,1,0.0,0,1,0,1,2018-01-20 20:00:00,2018-01-20 22:20:00,140.0,53.0,35.0
NV6739,NV6811,D,D,PK357,PK399,3,0.0,0,1,0,1,2018-01-20 18:35:00,2018-01-20 22:20:00,225.0,53.0,35.0
NV859,NV6811,I,D,PK366,PK399,3,0.0,1,0,0,1,2018-01-20 18:55:00,2018-01-20 22:20:00,205.0,81.0,55.0
NV6117,NV882,I,I,PK393,PK338,3,0.0,1,0,1,0,2018-01-20 20:30:00,2018-01-21 00:15:00,225.0,53.0,40.0
NV6241,NV882,D,I,PK412,PK338,1,0.0,0,1,1,0,2018-01-20 21:40:00,2018-01-21 00:15:00,155.0,73.0,55.0
NV849,NV882,I,I,PK377,PK338,1,0.0,1,0,1,0,2018-01-20 19:40:00,2018-01-21 00:15:00,275.0,53.0,40.0
NV6753,NV882,D,I,PK378,PK338,2,0.0,0,1,1,0,2018-01-20 19:50:00,2018-01-21 00:15:00,265.0,73.0,55.0
NV6633,NV882,D,I,PK398,PK338,2,0.0,0,1,1,0,2018-01-20 21:00:00,2018-01-21 00:15:00,195.0,73.0,55.0
NV317,NV882,I,I,PK391,PK338,4,0.0,1,0,1,0,2018-01-20 20:25:00,2018-01-21 00:15:00,230.0,53.0,40.0
GN0629,NV882,D,I,PK406,PK338,2,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:15:00,175.0,73.0,55.0
GN0639,NV882,D,I,PK424,PK338,1,0.0,0,1,1,0,2018-01-20 22:30:00,2018-01-21 00:15:00,105.0,73.0,55.0
NV3270,NV882,D,I,PK420,PK338,1,0.0,0,1,1,0,2018-01-20 22:05:00,2018-01-21 00:15:00,130.0,73.0,55.0
NV6117,NV840,I,I,PK393,PK349,2,0.0,1,0,1,0,2018-01-20 20:30:00,2018-01-21 00:20:00,230.0,53.0,40.0
NV6551,NV840,D,I,PK388,PK349,3,0.0,0,1,1,0,2018-01-20 20:15:00,2018-01-21 00:20:00,245.0,73.0,55.0
NV6699,NV840,D,I,PK408,PK349,10,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:20:00,180.0,73.0,55.0
NV6633,NV840,D,I,PK398,PK349,3,0.0,0,1,1,0,2018-01-20 21:00:00,2018-01-21 00:20:00,200.0,73.0,55.0
NV633,NV840,I,I,PK375,PK349,5,0.0,1,0,1,0,2018-01-20 19:35:00,2018-01-21 00:20:00,285.0,53.0,40.0
NV6405,NV840,D,I,PK418,PK349,3,0.0,0,1,1,0,2018-01-20 22:00:00,2018-01-21 00:20:00,140.0,73.0,55.0
NV6653,NV840,D,I,PK407,PK349,3,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:20:00,180.0,73.0,55.0
NV6737,NV840,D,I,PK414,PK349,2,0.0,0,1,1,0,2018-01-20 21:45:00,2018-01-21 00:20:00,155.0,73.0,55.0
NV651,NV840,I,I,PK400,PK349,1,0.0,1,0,1,0,2018-01-20 21:05:00,2018-01-21 00:20:00,195.0,53.0,40.0
NV6199,NV840,I,I,PK372,PK349,1,0.0,1,0,1,0,2018-01-20 19:30:00,2018-01-21 00:20:00,290.0,53.0,40.0
NV317,NV840,I,I,PK391,PK349,1,0.0,1,0,1,0,2018-01-20 20:25:00,2018-01-21 00:20:00,235.0,53.0,40.0
NV6527,NV840,D,I,PK381,PK349,1,0.0,0,1,1,0,2018-01-20 20:00:00,2018-01-21 00:20:00,260.0,73.0,55.0
NV6578,NV840,D,I,PK394,PK349,2,0.0,0,1,1,0,2018-01-20 20:30:00,2018-01-21 00:20:00,230.0,73.0,55.0
NV6549,NV840,D,I,PK390,PK349,2,0.0,0,1,1,0,2018-01-20 20:20:00,2018-01-21 00:20:00,240.0,73.0,55.0
NV6505,NV840,D,I,PK405,PK349,2,0.0,0,1,1,0,2018-01-20 21:15:00,2018-01-21 00:20:00,185.0,73.0,55.0
GN0409,NV840,D,I,PK403,PK349,1,0.0,0,1,1,0,2018-01-20 21:15:00,2018-01-21 00:20:00,185.0,73.0,55.0
NV6117,NV320,I,I,PK393,PK373,2,0.0,1,0,1,0,2018-01-20 20:30:00,2018-01-21 00:10:00,220.0,53.0,40.0
NV849,NV320,I,I,PK377,PK373,1,0.0,1,0,1,0,2018-01-20 19:40:00,2018-01-21 00:10:00,270.0,53.0,40.0
NV6551,NV320,D,I,PK388,PK373,2,0.0,0,1,1,0,2018-01-20 20:15:00,2018-01-21 00:10:00,235.0,73.0,55.0
NV673,NV320,I,I,PK373,PK373,10,1.0,1,0,1,0,2018-01-20 19:30:00,2018-01-21 00:10:00,280.0,53.0,40.0
NV6699,NV320,D,I,PK408,PK373,2,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:10:00,170.0,73.0,55.0
NV6633,NV320,D,I,PK398,PK373,1,0.0,0,1,1,0,2018-01-20 21:00:00,2018-01-21 00:10:00,190.0,73.0,55.0
NV6653,NV320,D,I,PK407,PK373,1,0.0,0,1,1,0,2018-01-20 21:20:00,2018-01-21 00:10:00,170.0,73.0,55.0
NV6737,NV320,D,I,PK414,PK373,1,0.0,0,1,1,0,2018-01-20 21:45:00,2018-01-21 00:10:00,145.0,73.0,55.0
NV827,NV320,I,I,PK382,PK373,4,0.0,1,0,1,0,2018-01-20 20:00:00,2018-01-21 00:10:00,250.0,53.0,40.0
NV621,NV320,I,I,PK386,PK373,4,0.0,1,0,1,0,2018-01-20 20:10:00,2018-01-21 00:10:00,240.0,53.0,40.0
NV317,NV320,I,I,PK391,PK373,2,0.0,1,0,1,0,2018-01-20 20:25:00,2018-01-21 00:10:00,225.0,53.0,40.0
NV6642,NV320,D,I,PK401,PK373,2,0.0,0,1,1,0,2018-01-20 21:05:00,2018-01-21 00:10:00,185.0,73.0,55.0
GN0409,NV320,D,I,PK403,PK373,1,0.0,0,1,1,0,2018-01-20 21:15:00,2018-01-21 00:10:00,175.0,73.0,55.0
NV6317,NV320,D,I,PK387,PK373,1,0.0,0,1,1,0,2018-01-20 20:10:00,2018-01-21 00:10:00,240.0,73.0,55.0
NV6117,NV6652,I,D,PK393,PK407,1,0.0,1,0,0,1,2018-01-20 20:30:00,2018-01-20 22:30:00,120.0,81.0,55.0
NV3119,NV6652,I,D,PK368,PK407,6,0.0,1,0,0,1,2018-01-20 19:15:00,2018-01-20 22:30:00,195.0,81.0,55.0
NV849,NV6652,I,D,PK377,PK407,3,0.0,1,0,0,1,2018-01-20 19:40:00,2018-01-20 22:30:00,170.0,81.0,55.0
NV673,NV6652,I,D,PK373,PK407,5,0.0,1,0,0,1,2018-01-20 19:30:00,2018-01-20 22:30:00,180.0,81.0,55.0
NV827,NV6652,I,D,PK382,PK407,5,0.0,1,0,0,1,2018-01-20 20:00:00,2018-01-20 22:30:00,150.0,81.0,55.0
