"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数
NV6749,NV6742,D,D,PK276,PK295,1
NV883,NV6160,I,I,PK466,PK190,1
NV837,NV346,I,I,PK499,PK456,1
NV6733,NV880,D,I,PK410,PK458,1
NV6735,NV6116,D,I,PK286,PK292,1
NV849,NV882,I,I,PK377,PK338,1
NV849,NV6714,I,D,PK377,PK369,1
NV689,NV6644,I,D,PK464,PK479,1
NV849,NV6642,I,D,PK377,PK401,1
NV837,NV6316,I,D,PK499,PK270,1
NV849,NV664,I,I,PK135,PK107,1
NV837,NV810,I,I,PK499,PK445,1
NV6737,NV320,D,I,PK414,PK373,1
NV837,NV820,I,I,PK499,PK263,1
NV689,NV6577,I,D,PK464,PK477,1
NV6737,NV6134,D,I,PK169,PK149,1
NV6737,NV664,D,I,PK169,PK107,1
NV837,NV898,I,I,PK499,PK159,1
NV6737,NV880,D,I,PK169,PK106,1
NV891,NV6548,I,D,PK458,PK187,1
NV891,NV6446,I,D,PK458,PK184,1
NV6739,NV6486,D,D,PK357,PK362,1
NV6739,NV654,D,I,PK357,PK377,1
NV689,NV3263,I,D,PK464,PK170,1
NV891,NV634,I,I,PK458,PK454,1
NV841,NV6540,I,D,PK274,PK145,1
NV6739,NV826,D,I,PK357,PK382,1
NV871,NV6230,I,D,PK455,PK155,1
NV674,NV616,D,I,PK280,PK303,1
NV674,NV656,D,I,PK280,PK304,1
NV831,NV688,I,I,PK353,PK347,1
GN0409,NV320,D,I,PK403,PK373,1
NV6727,NV6116,D,I,PK291,PK292,1
NV6163,NV618,I,I,PK495,PK262,1
NV6157,NV698,I,I,PK467,PK487,1
NV6155,NV6574,I,D,PK285,PK293,1
NV6155,NV6318,I,D,PK285,PK294,1
NV6155,NV3273,I,D,PK285,PK297,1
NV6153,NV6556,I,D,PK292,PK282,1
NV6153,NV616,I,I,PK292,PK303,1
NV6153,NV3465,I,D,PK292,PK309,1
NV6153,NV0746,I,D,PK292,PK315,1
NV615,NV6578,I,D,PK354,PK480,1
NV6145,NV6325,I,D,PK343,PK380,1
NV6145,NV3787,I,D,PK343,PK322,1
NV6135,NV692,I,I,PK475,PK089,1
NV6135,NV670,I,I,PK475,PK468,1
NV613,NV682,I,I,PK303,PK471,1
NV613,NV638,I,I,PK303,PK334,1
NV6119,NV859,I,D,PK340,PK366,1
NV6119,NV831,I,D,PK340,PK353,1
NV6119,NV6325,I,D,PK340,PK380,1
NV6119,NV3787,I,D,PK340,PK322,1
NV6119,NV3631,I,D,PK340,PK348,1
NV6117,NV6652,I,D,PK393,PK407,1
NV6117,NV6632,I,D,PK393,PK398,1
NV6117,NV3993,I,D,PK393,PK414,1
NV3992,NV820,D,I,PK474,PK263,1
NV3992,NV810,D,I,PK474,PK445,1
NV393,NV634,I,I,PK472,PK454,1
NV393,NV628,I,I,PK472,PK485,1
NV391,NV658,I,I,PK336,PK352,1
NV383,NV629,I,D,PK290,PK311,1
NV6163,NV346,I,I,PK495,PK456,1
NV6163,NV670,I,I,PK495,PK468,1
NV6725,NV664,D,I,PK147,PK107,1
NV6171,NV629,I,D,PK295,PK311,1
NV6313,NV3194,D,D,PK501,PK499,1
NV6307,NV6198,D,I,PK272,PK286,1
NV6301,NV6325,D,D,PK346,PK380,1
NV6294,NV694,D,I,PK253,PK453,1
NV6294,NV670,D,I,PK253,PK468,1
NV6294,NV346,D,I,PK253,PK456,1
NV629,NV6308,I,D,PK311,PK272,1
NV629,NV3277,I,D,PK311,PK326,1
NV628,NV820,D,I,PK485,PK263,1
NV628,NV698,D,I,PK485,PK487,1
NV628,NV670,D,I,PK485,PK468,1
NV628,NV632,D,I,PK485,PK258,1
NV628,NV3120,D,I,PK485,PK257,1
NV627,NV6710,I,D,PK322,PK325,1
NV627,NV308,I,I,PK322,PK333,1
NV6241,NV882,D,I,PK412,PK338,1
NV6241,NV6156,D,I,PK412,PK371,1
NV6241,NV608,D,I,PK168,PK108,1
NV621,NV846,I,I,PK386,PK370,1
NV621,NV840,I,I,PK144,PK104,1
NV621,NV6811,I,D,PK386,PK399,1
NV6199,NV840,I,I,PK372,PK349,1
NV6199,NV6772,I,D,PK372,PK395,1
NV6199,NV6578,I,D,PK372,PK480,1
NV619,NV831,I,D,PK344,PK353,1
NV619,NV6720,I,D,PK344,PK346,1
NV6171,NV6736,I,D,PK295,PK317,1
NV6171,NV6556,I,D,PK295,PK282,1
NV6171,NV6462,I,D,PK295,PK323,1
NV383,NV616,I,I,PK290,PK303,1
NV382,NV686,D,I,PK313,PK301,1
NV3786,NV699,D,D,PK348,PK374,1
NV3703,NV6540,I,D,PK278,PK145,1
NV3195,NV322,D,I,PK437,PK386,1
NV317,NV840,I,I,PK391,PK349,1
NV3131,NV699,I,D,PK351,PK374,1
NV3131,NV6714,I,D,PK351,PK369,1
NV3131,NV6578,I,D,PK351,PK480,1
NV3131,NV6297,I,D,PK351,PK368,1
NV3120,NV810,D,I,PK257,PK445,1
NV3120,NV694,D,I,PK257,PK453,1
NV3120,NV670,D,I,PK257,PK468,1
NV3120,NV640,D,I,PK257,PK466,1
NV3119,NV6578,I,D,PK368,PK480,1
NV3119,NV6325,I,D,PK368,PK380,1
NV309,NV6738,I,D,PK454,PK117,1
NV309,NV6734,I,D,PK454,PK171,1
NV309,NV6708,I,D,PK454,PK443,1
NV307,NV6528,I,D,PK334,PK381,1
NV305,NV690,I,I,PK270,PK208,1
NV305,NV6540,I,D,PK270,PK145,1
NV304,NV848,D,I,PK332,PK316,1
NV303,NV810,I,I,PK268,PK445,1
NV303,NV692,I,I,PK268,PK089,1
NV303,NV674,I,I,PK268,PK280,1
NV0747,NV608,D,I,PK184,PK108,1
NV0747,NV322,D,I,PK426,PK386,1
GN0645,NV880,D,I,PK422,PK458,1
GN0639,NV882,D,I,PK424,PK338,1
GN0639,NV846,D,I,PK183,PK129,1
GN0629,NV846,D,I,PK406,PK370,1
GN0629,NV846,D,I,PK164,PK129,1
NV3197,NV672,I,I,PK329,PK308,1
NV323,NV810,I,I,PK260,PK445,1
NV3260,NV642,D,I,PK326,PK337,1
NV3553,NV880,D,I,PK176,PK106,1
NV3702,NV830,D,I,PK330,PK275,1
NV3702,NV688,D,I,PK330,PK347,1
NV3702,NV642,D,I,PK330,PK337,1
NV3654,NV682,D,I,PK294,PK471,1
NV3654,NV642,D,I,PK294,PK337,1
NV3654,NV638,D,I,PK294,PK334,1
NV3654,NV3702,D,I,PK294,PK330,1
NV3654,NV304,D,I,PK294,PK332,1
NV3622,NV688,D,I,PK362,PK347,1
NV3622,NV320,D,I,PK134,PK131,1
NV3620,NV820,D,I,PK481,PK263,1
NV3620,NV6118,D,I,PK481,PK460,1
NV3620,NV3120,D,I,PK481,PK257,1
NV3513,NV820,D,I,PK490,PK263,1
NV3270,NV608,D,I,PK170,PK108,1
NV3513,NV694,D,I,PK490,PK453,1
NV3513,NV670,D,I,PK490,PK468,1
NV3513,NV3120,D,I,PK490,PK257,1
NV347,NV6154,I,I,PK456,PK156,1
NV343,NV6612,I,D,PK460,PK478,1
NV343,NV6504,I,D,PK460,PK193,1
NV343,NV634,I,I,PK460,PK454,1
NV343,NV6230,I,D,PK460,PK155,1
NV337,NV688,I,I,PK371,PK347,1
NV337,NV6642,I,D,PK371,PK401,1
NV3278,NV880,D,I,PK392,PK458,1
NV3270,NV882,D,I,PK420,PK338,1
NV3270,NV6134,D,I,PK170,PK149,1
NV6313,NV6144,D,I,PK501,PK261,1
NV6313,NV632,D,I,PK501,PK258,1
NV6313,NV6510,D,D,PK501,PK276,1
NV6633,NV322,D,I,PK398,PK386,1
NV6663,NV3652,D,D,PK365,PK415,1
NV6657,NV860,D,I,PK323,PK365,1
NV6657,NV848,D,I,PK323,PK316,1
NV6657,NV834,D,I,PK323,PK327,1
NV6657,NV638,D,I,PK323,PK334,1
NV6657,NV304,D,I,PK323,PK332,1
NV6655,NV674,D,I,PK491,PK280,1
NV6655,NV6713,D,D,PK491,PK266,1
NV6655,NV662,D,I,PK491,PK094,1
NV6655,NV6488,D,D,PK491,PK256,1
NV6655,NV318,D,I,PK491,PK464,1
NV6653,NV664,D,I,PK407,PK363,1
NV6653,NV320,D,I,PK407,PK373,1
NV665,NV6734,I,D,PK468,PK171,1
NV665,NV6644,I,D,PK468,PK479,1
NV665,NV628,I,I,PK468,PK485,1
NV665,NV336,I,I,PK468,PK165,1
NV665,NV316,I,I,PK468,PK112,1
NV665,GN0630,I,D,PK468,PK448,1
NV6645,NV694,D,I,PK479,PK453,1
NV6645,NV618,D,I,PK479,PK262,1
NV6645,NV614,D,I,PK479,PK260,1
NV6645,NV318,D,I,PK479,PK464,1
NV6643,NV654,D,I,PK402,PK377,1
NV6642,NV840,D,I,PK160,PK104,1
NV6642,NV664,D,I,PK160,PK107,1
NV6633,NV846,D,I,PK398,PK370,1
NV6633,NV846,D,I,PK157,PK129,1
NV6633,NV654,D,I,PK398,PK377,1
NV6663,NV6472,D,D,PK365,PK356,1
NV6663,NV654,D,I,PK365,PK377,1
NV6684,NV614,D,I,PK482,PK260,1
NV6711,NV6162,D,I,PK301,PK324,1
NV6725,NV654,D,I,PK389,PK377,1
NV6719,NV686,D,I,PK288,PK301,1
NV6719,NV656,D,I,PK288,PK304,1
NV6719,NV6556,D,D,PK288,PK282,1
NV6719,NV6116,D,I,PK288,PK292,1
NV6717,NV658,D,I,PK337,PK352,1
NV6715,NV308,D,I,PK325,PK333,1
NV6714,NV688,D,I,PK369,PK347,1
NV6714,NV6325,D,D,PK369,PK380,1
NV6713,NV810,D,I,PK266,PK445,1
NV6713,NV690,D,I,PK266,PK208,1
NV6713,NV676,D,I,PK266,PK463,1
NV6713,NV398,D,I,PK266,PK271,1
NV6711,NV382,D,I,PK301,PK313,1
NV6684,NV670,D,I,PK482,PK468,1
NV6711,NV302,D,I,PK301,PK319,1
NV6699,NV880,D,I,PK408,PK458,1
NV6699,NV840,D,I,PK165,PK104,1
NV6699,NV320,D,I,PK165,PK131,1
NV6698,NV810,D,I,PK480,PK445,1
NV6698,NV3120,D,I,PK480,PK257,1
NV6697,NV858,D,I,PK478,PK265,1
NV6697,NV810,D,I,PK478,PK445,1
NV6697,NV692,D,I,PK478,PK089,1
NV6685,NV831,D,D,PK300,PK353,1
NV6685,NV6736,D,D,PK300,PK317,1
NV6685,NV3702,D,I,PK300,PK330,1
NV6684,NV698,D,I,PK482,PK487,1
NV6633,NV3652,D,D,PK398,PK415,1
NV6633,NV320,D,I,PK398,PK373,1
NV6313,NV6732,D,D,PK501,PK269,1
NV659,NV630,I,I,PK471,PK474,1
NV6453,NV642,D,I,PK315,PK337,1
NV6453,NV3702,D,I,PK315,PK330,1
NV6443,NV858,D,I,PK256,PK265,1
NV6443,NV6510,D,D,PK256,PK276,1
NV6443,NV346,D,I,PK256,PK456,1
NV643,NV694,I,I,PK269,PK453,1
NV643,NV3703,I,D,PK269,PK278,1
NV641,NV624,I,I,PK317,PK344,1
NV6405,NV846,D,I,PK174,PK129,1
NV6405,NV320,D,I,PK174,PK131,1
NV6375,NV840,D,I,PK155,PK104,1
NV6375,NV664,D,I,PK155,PK107,1
NV635,NV834,I,I,PK333,PK327,1
NV635,NV6784,I,D,PK333,PK359,1
NV635,NV6588,I,D,PK333,PK331,1
NV635,NV3631,I,D,PK333,PK348,1
NV635,NV3410,I,D,PK333,PK355,1
NV635,NV308,I,I,PK333,PK333,1
NV633,NV6642,I,D,PK375,PK401,1
NV633,NV608,I,I,PK133,PK108,1
NV633,NV3655,I,D,PK375,PK372,1
NV633,GN0428,I,D,PK375,PK367,1
NV6324,NV880,D,I,PK380,PK458,1
NV6324,NV654,D,I,PK380,PK377,1
NV632,NV898,D,I,PK258,PK159,1
NV632,NV690,D,I,PK258,PK208,1
NV632,NV318,D,I,PK258,PK464,1
NV6317,NV6632,D,D,PK387,PK398,1
NV6317,NV320,D,I,PK387,PK373,1
NV6453,NV830,D,I,PK315,PK275,1
NV6479,NV640,D,I,PK498,PK466,1
NV6479,NV662,D,I,PK498,PK094,1
NV655,NV3263,I,D,PK457,PK170,1
NV659,NV6160,I,I,PK471,PK190,1
NV6578,NV880,D,I,PK152,PK106,1
NV6578,NV6772,D,D,PK394,PK395,1
NV6577,NV670,D,I,PK477,PK468,1
NV657,NV682,I,I,PK316,PK471,1
NV6551,NV840,D,I,PK146,PK104,1
NV6551,NV826,D,I,PK388,PK382,1
NV6551,NV654,D,I,PK388,PK377,1
GN0409,NV840,D,I,PK403,PK349,1
NV655,NV6724,I,D,PK457,PK147,1
NV655,NV630,I,I,PK457,PK474,1
NV655,NV6230,I,D,PK457,PK155,1
NV655,NV380,I,I,PK457,PK449,1
NV6535,NV692,D,I,PK273,PK089,1
NV6479,NV698,D,I,PK498,PK487,1
NV6535,NV690,D,I,PK273,PK208,1
NV6533,NV828,D,I,PK493,PK461,1
NV6533,NV6510,D,D,PK493,PK276,1
NV6527,NV840,D,I,PK381,PK349,1
NV6527,NV6811,D,D,PK381,PK399,1
NV6525,NV688,D,I,PK356,PK347,1
NV6513,NV898,D,I,PK254,PK159,1
NV6513,NV828,D,I,PK254,PK461,1
NV6513,NV694,D,I,PK254,PK453,1
NV6513,NV318,D,I,PK254,PK464,1
NV651,NV840,I,I,PK400,PK349,1
NV6479,NV858,D,I,PK498,PK265,1
NV6479,NV828,D,I,PK498,PK461,1
NV891,NV6738,I,D,PK458,PK117,1
